TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,328925,328925,1,Kovacevica pecina,Kovacevica pecina,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0,0.04620457969,Not Applicable,0,Designated,1975,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552431,555552431,1,Lesni profil kod Starog Slankamena,Lesni profil kod Starog Slankamena,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0,0.0005471885444,Not Applicable,0,Designated,1975,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328929,328929,1,Ribnica,Ribnica,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.28,0.2634354938,Not Applicable,0,Designated,1976,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16399,16399,1,Sicevacka klisura,Sicevacka klisura,Park prirode,Nature Park,National,V,Not Applicable,0,0,0,77.46,77.39622517,Not Applicable,0,Designated,1977,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552432,555552432,1,Klisura Osanicke reke,Klisura Osanicke reke,Spomenik prirode,Natural Monument,National,V,Not Applicable,0,0,0,0.3,0.3583459338,Not Applicable,0,Designated,1979,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328934,328934,1,Ostrovica,Ostrovica,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.14,0.1383692175,Not Applicable,0,Designated,1980,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388806,388806,1,Godovska pecina,Godovska pecina,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.05,0.05249744124,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328936,328936,1,Promuklica,Promuklica,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.07,0.07153306473,Not Applicable,0,Designated,1980,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145129,145129,1,Vrsacke planine,Vrsacke planine,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,III,Not Applicable,0,0,0,44.08,44.15414832,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,20702,20702,1,Suboticka pescara,Suboticka pescara,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,IV,Not Applicable,0,0,0,53.7,54.9879234,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16393,16393,1,Palic,Palic,Park prirode,Nature Park,National,V,Not Applicable,0,0,0,7.13,7.440414548,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552433,555552433,1,Suma Junakovic,Suma Junakovic,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,1.8,1.814335197,Not Applicable,0,Designated,1983,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552434,555552434,1,Botanicki lokalitet stepske vegetacije Carnok,Botanicki lokalitet stepske vegetacije Carnok,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0.03,0.02845816172,Not Applicable,0,Designated,1986,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552435,555552435,1,Bajfordova suma,Bajfordova suma,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.4,0.3988718393,Not Applicable,0,Designated,1993,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555588980,555588980,1,Tisa u parku Patrijarsijskog dvora,Tisa u parku Patrijarsijskog dvora,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0,0.001250221144,Not Applicable,0,Designated,1964,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16422,16422,1,Klisura reke Gradac,Klisura reke Gradac,Predeli izuzetnih odlika,Landscape of Outstanding Qualities,National,V,Not Applicable,0,0,0,12.68,12.08580701,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328835,328835,1,Jelasnicka klisura,Jelasnicka klisura,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,1.15,1.244390532,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,555552436,555552436,1,Botanicka basta Jevremovac,Botanicka basta Jevremovac,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.05,0.04758738278,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328847,328847,1,Zasavica,Zasavica,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,6.71,6.206593744,Not Applicable,0,Designated,1997,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,16398,16398,1,Begecka jama,Begecka jama,Park prirode,Nature Park,National,V,Not Applicable,0,0,0,3.79,3.937584423,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
