ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
337,Stablo hrasta lužnjaka Obrva,Natural Monument,Kraljevo,0,5,94,Nikolić Živko i Zdravko iz sela Obrva
338,Dve tise Saborne crkve,Natural Monument,Beograd-Stari Grad,0,2,41,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
339,Šuma Junaković,Natural Monument,Apatin,180,4,50,"JP Vojvodinašume, ŠG Sombor"
340,Slapovi Sopotnice,Natural Monument,Prijepolje,209,34,0,Planinarsko društvo Kamena gora
341,Šalinački lug,Natural Monument,Smederevo,19,21,51,Udruženje za negovanje prirodne i kulturne baštine Hrast
342,Park čelarevskog dvorca,Natural Monument,Bačka Palanka,7,33,23,CARLSBERG DOO
343,Stari park u Čoki,Natural Monument,Čoka,5,50,76,Fond za izgradnju i razvoj infrastrukture opštine Čoka
344,Park Blandaš,Natural Monument,Kikinda,2,31,89,"JP Direkcija za izgradnju grada, Kikinda"
345,Arboretum Stari park kod Sonte,Natural Monument,Apatin,1,32,0,PPP AGROSONTA PJ MLADI BORAC
346,Stablo breze na potezu Brankovac,Natural Monument,Beočin,0,3,8,"Udruženje vlasnika i uzgajivača ''Šumska zajednica Beočin sela'', Beočin"
347,Futoški park,Natural Monument,Novi Sad,8,13,6,"JKP Gradsko Zelenilo, Novi Sad"
348,Stari park u Vlajkovcu,Natural Monument,Vršac,4,72,8,"Restoran Jezero, Vlajkovac"
349,Hrast Cara Lazara,Natural Monument,Kuršumlija,0,16,66,"Društvo za negovanje tradicija Oslobodilačkih ratova Srbije do 1918 godine, Kuršumlija"
350,Lipa u Šapcu,Natural Monument,Šabac,0,2,1,Javno komunalno preduzeće
351,Stablo hrasta lužnjaka Platnara,Natural Monument,Smederevo,0,3,50,JKP Komunalac
352,Kesten Ćurčina u Pančevu,Natural Monument,Pančevo,0,2,14,JKP Zelenilo
353,Bukva na Dedinju,Natural Monument,Beograd-Savski Venac,0,2,40,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
354,Akademski park u Beogradu,Natural Monument,Beograd-Stari Grad,1,45,90,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
355,Pionirski park,Natural Monument,Beograd-Stari Grad,3,60,13,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
356,Pećinski sistem Jezava,Natural Monument,Svrljig,4,40,10,"JP Srbijašume, Novi Beograd"
357,Bjeluška potajnica,Natural Monument,Arilje,2,45,17,Opštinska uprava opštine Arilje
358,Tri hrasta lužnjaka Bare,Natural Monument,Beograd-Barajevo,0,50,0,Mesna zajednica Šiljakovac
359,Čempres na Dedinju,Natural Monument,Beograd-Savski Venac,0,0,57,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
360,Tisa u Požeškoj ulici,Natural Monument,Beograd-Čukarica,0,1,3,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
361,Ginko na Vračaru,Natural Monument,Beograd-Savski Venac,0,1,2,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
362,Straža,Natural Monument,Vršac,67,60,65,"Javno preduzeće za izgradnju, razvoj i uređenje grada i područja Opštine Vršac ''Varoš'' iz Vršca"
363,Krečnjački sprud Kamilja,Natural Monument,Leposavić,96,0,0,JP Srbijašume - Šumsko gazdinstvo Ibar
364,Prekonoška pećina,Natural Monument,Svrljig,15,28,25,Opština Svrljig
365,Pećina Popšički pešter,Natural Monument,Svrljig,20,80,8,Mesna zajednica Popšica
366,Pećina Ravna peć,Natural Monument,Svrljig,13,3,89,Mesna zajednica Prekonoge
367,Zapis u Leskoviku,Natural Monument,Niš,0,2,47,Blagojević Nikole Milan
368,Godovska pećina,Natural Monument,Tutin,5,27,27,"Odeljenje za privredne delatnosti opštinske uprave Tutin, službe komunalne i ekološke inspekcije"
369,Bigrena akumulacija Beli izvorac,Natural Monument,Majdanpek,6,2,0,Turistička organizacija opštine Majdanpek
370,Bela topola u Kukujevcima,Natural Monument,Šid,0,5,50,JKP Standard Šid
371,Dva stabla hrasta lužnjaka u Gibarcu,Natural Monument,Šid,0,12,0,JKP Standard Šid
372,Gojkovića lipa,Natural Monument,Čačak,0,1,63,JKP Gradsko zelenilo Čačak
373,Pećina Ceremošnja,Natural Monument,Kučevo,32,90,22,"Turistička organizacija opštine Kučevo, Kučevo"
374,Pećina Ravništarka,Natural Monument,Kučevo,5,95,48,"Turistička organizacija opštine Kučevo, Kučevo"
375,"Hrast cer ""Zagus - zapis""",Natural Monument,Aranđelovac,0,26,0,Mesna zajednica sela Garaši
376,Parkovi Vrnjačke Banje,Natural Monument,Vrnjačka Banja,22,64,41,"Javno preduzeće za gazdovanje zaštitnim šumama ""Borjak"""
377,Bogovinska pećina,Natural Monument,Boljevac,14,49,84,Turistička organizacija opštine Boljevac
378,Klisura Osaničke reke,Natural Monument,Žagubica,30,44,45,"JKP Belosavac, Žagubica"
379,Park Bukovičke Banje,Natural Monument,Aranđelovac,21,67,0,Javno komunalno preduzeće Zelenilo Aranđelovac
380,Arboretum Šumarskog fakulteta,Natural Monument,Beograd-Čukarica,6,69,62,Šumarski fakultet Univerziteta u Beogradu
381,Suteska Sikolske reke sa vodopadom na Mokranjskoj steni,Natural Monument,Negotin,22,34,96,"JP Srbijašume, Novi Beograd"
